Cue,Answer,Shuffle,Stimuli Notes,Value
Video/Animotica_F_Jump.mp4,Jumping,Block1,,1
Video/Animotica_F_JJacks.mp4,Jumping Jacks,Block1,,2
Video/Animotica_F_Sit.mp4,Sitting,Block1,,3
Video/Animotica_F_Squat.mp4,Squatting,Block1,,4
Video/Animotica_F_Skip.mp4,Skipping,Block1,,5
Video/Animotica_F_Jog.mp4,Jogging,Block1,,6
Video/Animotica_F_Jump.mp4,Jumping,Block2,,7
Video/Animotica_F_JJacks.mp4,Jumping Jacks,Block2,,8
Video/Animotica_F_Sit.mp4,Sitting,Block2,,9
Video/Animotica_F_Squat.mp4,Squatting,Block2,,10
Video/Animotica_F_Skip.mp4,Skipping,Block2,,11
Video/Animotica_F_Jog.mp4,Jogging,Block2,,12
Video/Animotica_F_Jump.mp4,Jumping,Block3,,13
Video/Animotica_F_JJacks.mp4,Jumping Jacks,Block3,,14
Video/Animotica_F_Sit.mp4,Sitting,Block3,,15
Video/Animotica_F_Squat.mp4,Squatting,Block3,,16
Video/Animotica_F_Skip.mp4,Skipping,Block3,,17
Video/Animotica_F_Jog.mp4,Jogging,Block3,,18
Video/Animotica_F_Jump.mp4,Jumping,Block4,,19
Video/Animotica_F_JJacks.mp4,Jumping Jacks,Block4,,20
Video/Animotica_F_Sit.mp4,Sitting,Block4,,21
Video/Animotica_F_Squat.mp4,Squatting,Block4,,22
Video/Animotica_F_Skip.mp4,Skipping,Block4,,23
Video/Animotica_F_Jog.mp4,Jogging,Block4,,24
